PN + 25 Features,PN + 50 Features,PN + 75 Features
0.6166666666666670,0.640625,0.6333333333333330
0.6666666666666670,0.828125,0.6666666666666670
0.7333333333333330,0.671875,0.7166666666666670
0.6333333333333330,0.6875,0.6166666666666670
0.75,0.640625,0.6833333333333330
0.7,0.734375,0.7166666666666670
0.7,0.734375,0.7
0.6166666666666670,0.671875,0.6333333333333330
0.6666666666666670,0.671875,0.65
0.7166666666666670,0.734375,0.75
0.6666666666666670,0.625,0.6166666666666670
0.6333333333333330,0.609375,0.7
0.6333333333333330,0.6875,0.6333333333333330
0.7666666666666670,0.671875,0.7833333333333330
0.6166666666666670,0.65625,0.5666666666666670
0.6166666666666670,0.65625,0.65
0.7333333333333330,0.609375,0.6833333333333330
0.7833333333333330,0.671875,0.7333333333333330
0.6833333333333330,0.71875,0.7
0.6166666666666670,0.75,0.6833333333333330
0.8,0.78125,0.7166666666666670
0.6666666666666670,0.640625,0.6666666666666670
0.6166666666666670,0.75,0.6333333333333330
0.75,0.71875,0.7666666666666670
0.8,0.703125,0.7833333333333330
0.7166666666666670,0.703125,0.75
0.65,0.640625,0.6333333333333330
0.6833333333333330,0.640625,0.6833333333333330
0.8,0.703125,0.8166666666666670
0.7,0.71875,0.6666666666666670
0.7333333333333330,0.734375,0.7333333333333330
0.5666666666666670,0.765625,0.6
0.6833333333333330,0.640625,0.6833333333333330
0.7666666666666670,0.65625,0.75
0.7333333333333330,0.6875,0.7333333333333330
0.6166666666666670,0.65625,0.65
0.7833333333333330,0.59375,0.7833333333333330
0.6833333333333330,0.78125,0.7
0.65,0.671875,0.6833333333333330
0.6333333333333330,0.71875,0.65
0.6833333333333330,0.78125,0.6833333333333330
0.7333333333333330,0.703125,0.6833333333333330
0.7333333333333330,0.65625,0.7
0.7833333333333330,0.65625,0.7666666666666670
0.6833333333333330,0.671875,0.7166666666666670
0.7,0.796875,0.7166666666666670
0.6666666666666670,0.65625,0.7
0.6666666666666670,0.640625,0.65
0.7166666666666670,0.765625,0.7166666666666670
0.6333333333333330,0.703125,0.7
0.6,0.703125,0.6666666666666670
0.7333333333333330,0.625,0.7166666666666670
0.5666666666666670,0.734375,0.6333333333333330
0.75,0.578125,0.75
0.65,0.640625,0.6333333333333330
0.7166666666666670,0.71875,0.6833333333333330
0.7333333333333330,0.640625,0.75
0.75,0.65625,0.7333333333333330
0.65,0.6875,0.6666666666666670
0.7166666666666670,0.71875,0.7166666666666670
0.75,0.65625,0.75
0.6833333333333330,0.71875,0.6666666666666670
0.8833333333333330,0.65625,0.8666666666666670
0.6666666666666670,0.671875,0.6666666666666670
0.75,0.671875,0.75
0.7333333333333330,0.65625,0.75
0.7,0.578125,0.7
0.6833333333333330,0.78125,0.7
0.6666666666666670,0.53125,0.65
0.6166666666666670,0.578125,0.6333333333333330
0.7,0.640625,0.7166666666666670
0.6833333333333330,0.8125,0.65
0.6166666666666670,0.65625,0.6333333333333330
0.7166666666666670,0.65625,0.7333333333333330
0.65,0.625,0.6666666666666670
0.7333333333333330,0.703125,0.6833333333333330
0.6,0.6875,0.5833333333333330
0.7833333333333330,0.703125,0.7833333333333330
0.6666666666666670,0.546875,0.6666666666666670
0.6833333333333330,0.71875,0.7
0.6333333333333330,0.671875,0.6666666666666670
0.6666666666666670,0.71875,0.65
0.65,0.6875,0.65
0.6166666666666670,0.640625,0.7
0.7,0.65625,0.6833333333333330
0.5833333333333330,0.71875,0.6
0.6666666666666670,0.59375,0.6833333333333330
0.7833333333333330,0.6875,0.7333333333333330
0.7333333333333330,0.75,0.7166666666666670
0.7166666666666670,0.75,0.6666666666666670
0.65,0.703125,0.65
0.7666666666666670,0.65625,0.7333333333333330
0.6833333333333330,0.765625,0.6833333333333330
0.6833333333333330,0.703125,0.6333333333333330
0.6,0.734375,0.6
0.7,0.671875,0.7166666666666670
0.8,0.609375,0.75
0.7333333333333330,0.640625,0.75
0.6666666666666670,0.625,0.65
0.7166666666666670,0.734375,0.6833333333333330
